candidate_id,rank,score,reasoning
CAND_0081846,1,0.6513,Lead AI Engineer at Razorpay; 6.6 yrs relevant ML/AI experience; strong JD skill alignment (11 core skills matched); moderate semantic relevance to JD; available quickly; highly responsive to recruiters; tier-1 institution; strong product company background.
CAND_0018499,2,0.6164,Senior Machine Learning Engineer at Zomato; 5.0 yrs relevant ML/AI experience; strong JD skill alignment (6 core skills matched); moderate semantic relevance to JD; active open source contributor; available quickly; tier-1 institution; strong product company background.
CAND_0028793,3,0.5849,Search Engineer at Google; 7.1 yrs relevant ML/AI experience; moderate skill match (4 core skills matched); high semantic relevance to JD; active open source contributor; long notice period (120 days) is a concern; tier-1 institution; strong product company background.
CAND_0046525,4,0.5836,Senior Machine Learning Engineer at Genpact AI; 6.1 yrs relevant ML/AI experience; moderate skill match (5 core skills matched); moderate semantic relevance to JD; highly responsive to recruiters; tier-1 institution; strong product company background.
CAND_0041669,5,0.5796,Recommendation Systems Engineer at CRED; 7.9 yrs relevant ML/AI experience; moderate skill match (4 core skills matched); moderate semantic relevance to JD; active open source contributor; highly responsive to recruiters; tier-1 institution; strong product company background.
CAND_0078002,6,0.5782,Machine Learning Engineer at Meta; 6.2 yrs relevant ML/AI experience; moderate skill match (5 core skills matched); moderate semantic relevance to JD; highly responsive to recruiters; tier-1 institution; strong product company background.
CAND_0011687,7,0.5762,Senior NLP Engineer at Niramai; 7.7 yrs relevant ML/AI experience; moderate skill match (5 core skills matched); moderate semantic relevance to JD; active open source contributor; available quickly; highly responsive to recruiters; tier-1 institution; strong product company background.
CAND_0036184,8,0.5751,"Recommendation Systems Engineer at CRED; 5.9 yrs total, 4.3 yrs relevant; strong JD skill alignment (7 core skills matched); high semantic relevance to JD; available quickly; highly responsive to recruiters; tier-2 institution."
CAND_0064326,9,0.5749,Search Engineer at Sarvam AI; 6.6 yrs relevant ML/AI experience; strong JD skill alignment (6 core skills matched); moderate semantic relevance to JD; active open source contributor; highly responsive to recruiters; tier-2 institution; strong product company background.
CAND_0078492,10,0.5709,Recommendation Systems Engineer at Verloop.io; 5.1 yrs relevant ML/AI experience; strong JD skill alignment (6 core skills matched); moderate semantic relevance to JD; available quickly; tier-1 institution.
CAND_0029367,11,0.5694,Senior Data Scientist at Rephrase.ai; 5.6 yrs relevant ML/AI experience; strong JD skill alignment (7 core skills matched); moderate semantic relevance to JD; highly responsive to recruiters; tier-2 institution; strong product company background.
CAND_0079387,12,0.5681,AI Engineer at Microsoft; 5.2 yrs relevant ML/AI experience; strong JD skill alignment (6 core skills matched); active open source contributor; available quickly; highly responsive to recruiters; tier-1 institution.
CAND_0005649,13,0.5663,Senior Data Scientist at Sarvam AI; 7.3 yrs relevant ML/AI experience; strong JD skill alignment (6 core skills matched); moderate semantic relevance to JD; active open source contributor; tier-2 institution; strong product company background.
CAND_0077337,14,0.566,Staff Machine Learning Engineer at Paytm; 6.9 yrs relevant ML/AI experience; strong JD skill alignment (6 core skills matched); active open source contributor; highly responsive to recruiters; tier-1 institution; strong product company background.
CAND_0018722,15,0.5599,"Recommendation Systems Engineer at Saarthi.ai; 6.5 yrs total, 4.8 yrs relevant; moderate skill match (5 core skills matched); high semantic relevance to JD; active open source contributor; highly responsive to recruiters; tier-2 institution; strong product company background."
